timestamp,pred_county,pred_year,county,N,prev_v
2020-10-31 16:01:47.689286,ANDERSON,2012,DIMMIT,TRUMP,762.0
2020-10-31 16:01:47.689286,ANDERSON,2012,DONLEY,TRUMP,1287.0
2020-10-31 16:01:47.689286,ANDERSON,2012,DUVAL,TRUMP,980.0000000000001
2020-10-31 16:01:47.689286,ANDERSON,2012,EASTLAND,TRUMP,5444.0
2020-10-31 16:01:47.689286,ANDERSON,2012,ECTOR,TRUMP,24010.0
2020-10-31 16:01:47.689286,ANDERSON,2012,EDWARDS,TRUMP,642.0
2020-10-31 16:01:47.689286,ANDERSON,2012,EL PASO,TRUMP,39574.0
2020-10-31 16:01:47.689286,ANDERSON,2012,ELLIS,TRUMP,57150.0
2020-10-31 16:01:47.689286,ANDERSON,2012,ERATH,TRUMP,10329.0
2020-10-31 16:01:47.689286,ANDERSON,2012,FALLS,TRUMP,3355.9999999999995
2020-10-31 16:01:47.689286,ANDERSON,2012,FANNIN,TRUMP,8161.0
2020-10-31 16:01:47.689286,ANDERSON,2012,FAYETTE,TRUMP,8106.0
2020-10-31 16:01:47.689286,ANDERSON,2012,FISHER,TRUMP,1094.0
2020-10-31 16:01:47.689286,ANDERSON,2012,FLOYD,TRUMP,1523.0
2020-10-31 16:01:47.689286,ANDERSON,2012,FOARD,TRUMP,348.0
2020-10-31 16:01:47.689286,ANDERSON,2012,FORT BEND,TRUMP,116126.0
2020-10-31 16:01:47.689286,ANDERSON,2012,FRANKLIN,TRUMP,3446.0
2020-10-31 16:01:47.689286,ANDERSON,2012,FREESTONE,TRUMP,5646.0
2020-10-31 16:01:47.689286,ANDERSON,2012,FRIO,TRUMP,1559.0000000000002
2020-10-31 16:01:47.689286,ANDERSON,2012,GAINES,TRUMP,3484.0000000000005
2020-10-31 16:01:47.689286,ANDERSON,2012,GALVESTON,TRUMP,69059.0
2020-10-31 16:01:47.689286,ANDERSON,2012,GARZA,TRUMP,1263.0
2020-10-31 16:01:47.689286,ANDERSON,2012,GILLESPIE,TRUMP,10306.0
2020-10-31 16:01:47.689286,ANDERSON,2012,GLASSCOCK,TRUMP,526.0
2020-10-31 16:01:47.689286,ANDERSON,2012,GOLIAD,TRUMP,2294.0
2020-10-31 16:01:47.689286,ANDERSON,2012,GONZALES,TRUMP,4216.0
2020-10-31 16:01:47.689286,ANDERSON,2012,GRAY,TRUMP,6443.0
2020-10-31 16:01:47.689286,ANDERSON,2012,GRAYSON,TRUMP,30936.0
2020-10-31 16:01:47.689286,ANDERSON,2012,GREGG,TRUMP,28742.0
2020-10-31 16:01:47.689286,ANDERSON,2012,GRIMES,TRUMP,6141.000000000001
2020-10-31 16:01:47.689286,ANDERSON,2012,GUADALUPE,TRUMP,33117.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HALE,TRUMP,6490.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HALL,TRUMP,832.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HAMILTON,TRUMP,2918.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HANSFORD,TRUMP,1788.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HARDEMAN,TRUMP,1176.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HARDIN,TRUMP,17746.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HARRIS,TRUMP,586073.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HARRISON,TRUMP,17512.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HARTLEY,TRUMP,1708.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HASKELL,TRUMP,1424.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HAYS,TRUMP,31660.999999999996
2020-10-31 16:01:47.689286,ANDERSON,2012,HEMPHILL,TRUMP,1298.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HENDERSON,TRUMP,21231.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HIDALGO,TRUMP,39865.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HILL,TRUMP,9132.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HOCKLEY,TRUMP,5546.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HOOD,TRUMP,18409.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HOPKINS,TRUMP,9836.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HOUSTON,TRUMP,5880.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HOWARD,TRUMP,6452.999999999999
2020-10-31 16:01:47.689286,ANDERSON,2012,HUDSPETH,TRUMP,470.99999999999994
2020-10-31 16:01:47.689286,ANDERSON,2012,HUNT,TRUMP,21011.0
2020-10-31 16:01:47.689286,ANDERSON,2012,HUTCHINSON,TRUMP,6803.999999999999
2020-10-31 16:01:47.689286,ANDERSON,2012,IRION,TRUMP,668.0
2020-10-31 16:01:47.689286,ANDERSON,2012,JACK,TRUMP,2580.0
2020-10-31 16:01:47.689286,ANDERSON,2012,JACKSON,TRUMP,3906.0
2020-10-31 16:01:47.689286,ANDERSON,2012,JASPER,TRUMP,9957.0
2020-10-31 16:01:47.689286,ANDERSON,2012,JEFF DAVIS,TRUMP,719.0
2020-10-31 16:01:47.689286,ANDERSON,2012,JEFFERSON,TRUMP,43242.0
2020-10-31 16:01:47.689286,ANDERSON,2012,JIM HOGG,TRUMP,356.0
2020-10-31 16:01:47.689286,ANDERSON,2012,JIM WELLS,TRUMP,4598.0
2020-10-31 16:01:47.689286,ANDERSON,2012,JOHNSON,TRUMP,37661.0
2020-10-31 16:01:47.689286,ANDERSON,2012,JONES,TRUMP,4262.0
2020-10-31 16:01:47.689286,ANDERSON,2012,KARNES,TRUMP,2825.0
2020-10-31 16:01:47.689286,ANDERSON,2012,KAUFMAN,TRUMP,24846.000000000004
2020-10-31 16:01:47.689286,ANDERSON,2012,KENDALL,TRUMP,14507.999999999998
2020-10-31 16:01:47.689286,ANDERSON,2012,KENEDY,TRUMP,84.0
2020-10-31 16:01:47.689286,ANDERSON,2012,KENT,TRUMP,335.0
2020-10-31 16:01:47.689286,ANDERSON,2012,KERR,TRUMP,17274.0
2020-10-31 16:01:47.689286,ANDERSON,2012,KIMBLE,TRUMP,1667.0
2020-10-31 16:01:47.689286,ANDERSON,2012,KING,TRUMP,139.0
2020-10-31 16:01:47.689286,ANDERSON,2012,KINNEY,TRUMP,879.9999999999999
2020-10-31 16:01:47.689286,ANDERSON,2012,KLEBERG,TRUMP,4058.0
2020-10-31 16:01:47.689286,ANDERSON,2012,KNOX,TRUMP,1160.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LAMAR,TRUMP,12826.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LAMB,TRUMP,3058.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LAMPASAS,TRUMP,5621.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LASALLE,TRUMP,669.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LAVACA,TRUMP,6796.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LEE,TRUMP,4507.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LEON,TRUMP,5814.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LIBERTY,TRUMP,17323.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LIMESTONE,TRUMP,5288.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LIPSCOMB,TRUMP,1044.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LIVE OAK,TRUMP,3153.9999999999995
2020-10-31 16:01:47.689286,ANDERSON,2012,LLANO,TRUMP,7610.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LOVING,TRUMP,54.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LUBBOCK,TRUMP,63469.0
2020-10-31 16:01:47.689286,ANDERSON,2012,LYNN,TRUMP,1439.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MADISON,TRUMP,3028.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MARION,TRUMP,2733.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MARTIN,TRUMP,1368.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MASON,TRUMP,1565.0000000000002
2020-10-31 16:01:47.689286,ANDERSON,2012,MATAGORDA,TRUMP,8040.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MAVERICK,TRUMP,2171.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MCCULLOCH,TRUMP,2419.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MCLENNAN,TRUMP,47903.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MCMULLEN,TRUMP,431.00000000000006
2020-10-31 16:01:47.689286,ANDERSON,2012,MEDINA,TRUMP,11079.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MENARD,TRUMP,665.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MIDLAND,TRUMP,35689.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MILAM,TRUMP,5481.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MILLS,TRUMP,1882.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MITCHELL,TRUMP,1756.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MONTAGUE,TRUMP,6549.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MONTGOMERY,TRUMP,137969.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MOORE,TRUMP,3967.9999999999995
2020-10-31 16:01:47.689286,ANDERSON,2012,MORRIS,TRUMP,3232.0
2020-10-31 16:01:47.689286,ANDERSON,2012,MOTLEY,TRUMP,538.0
2020-10-31 16:01:47.689286,ANDERSON,2012,NACOGDOCHES,TRUMP,13925.0
2020-10-31 16:01:47.689286,ANDERSON,2012,NAVARRO,TRUMP,10847.0
2020-10-31 16:01:47.689286,ANDERSON,2012,NEWTON,TRUMP,4112.0
2020-10-31 16:01:47.689286,ANDERSON,2012,NOLAN,TRUMP,3282.0000000000005
2020-10-31 16:01:47.689286,ANDERSON,2012,NUECES,TRUMP,48966.0
2020-10-31 16:01:47.689286,ANDERSON,2012,OCHILTREE,TRUMP,2719.0
2020-10-31 16:01:47.689286,ANDERSON,2012,OLDHAM,TRUMP,790.0
2020-10-31 16:01:47.689286,ANDERSON,2012,ORANGE,TRUMP,23366.0
2020-10-31 16:01:47.689286,ANDERSON,2012,PALO PINTO,TRUMP,7392.999999999999
2020-10-31 16:01:47.689286,ANDERSON,2012,PANOLA,TRUMP,7950.0
2020-10-31 16:01:47.689286,ANDERSON,2012,PARKER,TRUMP,39243.0
2020-10-31 16:01:47.689286,ANDERSON,2012,PARMER,TRUMP,2011.0
2020-10-31 16:01:47.689286,ANDERSON,2012,PECOS,TRUMP,2512.0
2020-10-31 16:01:47.689286,ANDERSON,2012,POLK,TRUMP,14071.000000000002
2020-10-31 16:01:47.689286,ANDERSON,2012,POTTER,TRUMP,18918.0
2020-10-31 16:01:47.689286,ANDERSON,2012,PRESIDIO,TRUMP,504.0
2020-10-31 16:01:47.689286,ANDERSON,2012,RAINS,TRUMP,3279.0
2020-10-31 16:01:47.689286,ANDERSON,2012,RANDALL,TRUMP,41447.0
2020-10-31 16:01:47.689286,ANDERSON,2012,REAGAN,TRUMP,676.0
2020-10-31 16:01:47.689286,ANDERSON,2012,REAL,TRUMP,1236.0
2020-10-31 16:01:47.689286,ANDERSON,2012,RED RIVER,TRUMP,3549.0
2020-10-31 16:01:47.689286,ANDERSON,2012,REEVES,TRUMP,1188.0
2020-10-31 16:01:47.689286,ANDERSON,2012,REFUGIO,TRUMP,1663.0
2020-10-31 16:01:47.689286,ANDERSON,2012,ROBERTS,TRUMP,467.99999999999994
2020-10-31 16:01:47.689286,ANDERSON,2012,ROBERTSON,TRUMP,4419.0
2020-10-31 16:01:47.689286,ANDERSON,2012,ROCKWALL,TRUMP,27113.000000000004
2020-10-31 16:01:47.689286,ANDERSON,2012,RUNNELS,TRUMP,3104.0
2020-10-31 16:01:47.689286,ANDERSON,2012,RUSK,TRUMP,13924.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SABINE,TRUMP,3727.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SAN AUGUSTINE,TRUMP,2469.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SAN JACINTO,TRUMP,7107.000000000001
2020-10-31 16:01:47.689286,ANDERSON,2012,SAN PATRICIO,TRUMP,12005.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SAN SABA,TRUMP,1905.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SCHLEICHER,TRUMP,787.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SCURRY,TRUMP,4124.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SHACKELFORD,TRUMP,1218.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SHELBY,TRUMP,6879.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SHERMAN,TRUMP,908.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SMITH,TRUMP,57331.00000000001
2020-10-31 16:01:47.689286,ANDERSON,2012,SOMERVELL,TRUMP,2871.0
2020-10-31 16:01:47.689286,ANDERSON,2012,STARR,TRUMP,1547.0000000000002
2020-10-31 16:01:47.689286,ANDERSON,2012,STEPHENS,TRUMP,2892.0
2020-10-31 16:01:47.689286,ANDERSON,2012,STERLING,TRUMP,459.00000000000006
2020-10-31 16:01:47.689286,ANDERSON,2012,STONEWALL,TRUMP,507.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SUTTON,TRUMP,1110.0
2020-10-31 16:01:47.689286,ANDERSON,2012,SWISHER,TRUMP,1655.0
2020-10-31 16:01:47.689286,ANDERSON,2012,TARRANT,TRUMP,348920.0
2020-10-31 16:01:47.689286,ANDERSON,2012,TAYLOR,TRUMP,32904.0
2020-10-31 16:01:47.689286,ANDERSON,2012,TERRELL,TRUMP,358.0
2020-10-31 16:01:47.689286,ANDERSON,2012,TERRY,TRUMP,2602.0
2020-10-31 16:01:47.689286,ANDERSON,2012,THROCKMORTON,TRUMP,700.0
2020-10-31 16:01:47.689286,ANDERSON,2012,TITUS,TRUMP,6084.0
2020-10-31 16:01:47.689286,ANDERSON,2012,TOM GREEN,TRUMP,26878.0
2020-10-31 16:01:47.689286,ANDERSON,2012,TRAVIS,TRUMP,140152.0
2020-10-31 16:01:47.689286,ANDERSON,2012,TRINITY,TRUMP,4537.0
2020-10-31 16:01:47.689286,ANDERSON,2012,TYLER,TRUMP,5910.0
2020-10-31 16:01:47.689286,ANDERSON,2012,UPSHUR,TRUMP,12015.0
2020-10-31 16:01:47.689286,ANDERSON,2012,UPTON,TRUMP,953.0
2020-10-31 16:01:47.689286,ANDERSON,2012,UVALDE,TRUMP,4529.0
2020-10-31 16:01:47.689286,ANDERSON,2012,VAL VERDE,TRUMP,5635.0
2020-10-31 16:01:47.689286,ANDERSON,2012,VAN ZANDT,TRUMP,15794.0
2020-10-31 16:01:47.689286,ANDERSON,2012,VICTORIA,TRUMP,19692.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WALKER,TRUMP,12140.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WALLER,TRUMP,9244.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WARD,TRUMP,2366.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WASHINGTON,TRUMP,10857.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WEBB,TRUMP,11078.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WHARTON,TRUMP,9750.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WHEELER,TRUMP,1877.9999999999998
2020-10-31 16:01:47.689286,ANDERSON,2012,WICHITA,TRUMP,29812.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WILBARGER,TRUMP,2956.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WILLACY,TRUMP,1416.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WILLIAMSON,TRUMP,97006.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WILSON,TRUMP,12218.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WINKLER,TRUMP,1311.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WISE,TRUMP,17207.0
2020-10-31 16:01:47.689286,ANDERSON,2012,WOOD,TRUMP,14351.0
2020-10-31 16:01:47.689286,ANDERSON,2012,YOAKUM,TRUMP,1698.0
2020-10-31 16:01:47.689286,ANDERSON,2012,YOUNG,TRUMP,6225.0
2020-10-31 16:01:47.689286,ANDERSON,2012,ZAPATA,TRUMP,997.0
2020-10-31 16:01:47.689286,ANDERSON,2012,ZAVALA,TRUMP,574.0
2020-10-31 16:01:47.689286,ANDERSON,2016,ANDERSON,TRUMP,12262.0
2020-10-31 16:01:47.689286,ANDERSON,2016,ANDREWS,TRUMP,3647.6686614650403
2020-10-31 16:01:47.689286,ANDERSON,2016,ANGELINA,TRUMP,20126.734035300356
2020-10-31 16:01:47.689286,ANDERSON,2016,ARANSAS,TRUMP,7189.446254071661
2020-10-31 16:01:47.689286,ANDERSON,2016,ARCHER,TRUMP,3516.698128929627
2020-10-31 16:01:47.689286,ANDERSON,2016,ARMSTRONG,TRUMP,858.2749791682448
2020-10-31 16:01:47.689286,ANDERSON,2016,ATASCOSA,TRUMP,8004.993258086509
2020-10-31 16:01:47.689286,ANDERSON,2016,AUSTIN,TRUMP,8951.51079463677
2020-10-31 16:01:47.689286,ANDERSON,2016,BAILEY,TRUMP,1248.3999696992653
2020-10-31 16:01:47.689286,ANDERSON,2016,BANDERA,TRUMP,7582.357851677903
2020-10-31 16:01:47.689286,ANDERSON,2016,BASTROP,TRUMP,15166.573441405955
2020-10-31 16:01:47.689286,ANDERSON,2016,BAYLOR,TRUMP,1176.877054768578
2020-10-31 16:01:47.689286,ANDERSON,2016,BEE,TRUMP,4406.554654950382
2020-10-31 16:01:47.689286,ANDERSON,2016,BELL,TRUMP,48299.33156579047
2020-10-31 16:01:47.689286,ANDERSON,2016,BEXAR,TRUMP,223237.8794030755
2020-10-31 16:01:47.689286,ANDERSON,2016,BLANCO,TRUMP,3912.3963336110905
2020-10-31 16:01:47.689286,ANDERSON,2016,BORDEN,TRUMP,306.52677827437316
2020-10-31 16:01:47.689286,ANDERSON,2016,BOSQUE,TRUMP,5888.100749943186
2020-10-31 16:01:47.689286,ANDERSON,2016,BOWIE,TRUMP,23151.13158094084
2020-10-31 16:01:47.689286,ANDERSON,2016,BRAZORIA,TRUMP,67613.3052041512
2020-10-31 16:01:47.689286,ANDERSON,2016,BRAZOS,TRUMP,35982.528293311116
2020-10-31 16:01:47.689286,ANDERSON,2016,BREWSTER,TRUMP,1929.2609650784032
2020-10-31 16:01:47.689286,ANDERSON,2016,BRISCOE,TRUMP,580.5431406711613
2020-10-31 16:01:47.689286,ANDERSON,2016,BROOKS,TRUMP,569.3967123702749
2020-10-31 16:01:47.689286,ANDERSON,2016,BROWN,TRUMP,11162.219074312552
2020-10-31 16:01:47.689286,ANDERSON,2016,BURLESON,TRUMP,4937.8677372926295
2020-10-31 16:01:47.689286,ANDERSON,2016,BURNET,TRUMP,13596.784789031133
2020-10-31 16:01:47.689286,ANDERSON,2016,CALDWELL,TRUMP,6215.0626467691845
2020-10-31 16:01:47.689286,ANDERSON,2016,CALHOUN,TRUMP,4308.094538292554
2020-10-31 16:01:47.689286,ANDERSON,2016,CALLAHAN,TRUMP,4518.947806984319
2020-10-31 16:01:47.689286,ANDERSON,2016,CAMERON,TRUMP,27375.627906976744
2020-10-31 16:01:47.689286,ANDERSON,2016,CAMP,TRUMP,2973.3097492614197
2020-10-31 16:01:47.689286,ANDERSON,2016,CARSON,TRUMP,2433.636845693508
2020-10-31 16:01:47.689286,ANDERSON,2016,CASS,TRUMP,9034.180137868343
2020-10-31 16:01:47.689286,ANDERSON,2016,CASTRO,TRUMP,1313.4208014544351
2020-10-31 16:01:47.689286,ANDERSON,2016,CHAMBERS,TRUMP,12390.183925460193
2020-10-31 16:01:47.689286,ANDERSON,2016,CHEROKEE,TRUMP,12000.058934929171
2020-10-31 16:01:47.689286,ANDERSON,2016,CHILDRESS,TRUMP,1673.8219831830922
2020-10-31 16:01:47.689286,ANDERSON,2016,CLAY,TRUMP,4065.6597227482766
2020-10-31 16:01:47.689286,ANDERSON,2016,COCHRAN,TRUMP,630.7020680251496
2020-10-31 16:01:47.689286,ANDERSON,2016,COKE,TRUMP,1175.0193167184304
2020-10-31 16:01:47.689286,ANDERSON,2016,COLEMAN,TRUMP,2951.016892659647
2020-10-31 16:01:47.689286,ANDERSON,2016,COLLIN,TRUMP,186715.67820619652
2020-10-31 16:01:47.689286,ANDERSON,2016,COLLINGSWORTH,TRUMP,913.0782516476024
2020-10-31 16:01:47.689286,ANDERSON,2016,COLORADO,TRUMP,5875.0965835921525
2020-10-31 16:01:47.689286,ANDERSON,2016,COMAL,TRUMP,41925.432315733655
2020-10-31 16:01:47.689286,ANDERSON,2016,COMANCHE,TRUMP,4024.7894856450266
2020-10-31 16:01:47.689286,ANDERSON,2016,CONCHO,TRUMP,822.0490871903644
2020-10-31 16:01:47.689286,ANDERSON,2016,COOKE,TRUMP,12243.422619498522
2020-10-31 16:01:47.689286,ANDERSON,2016,CORYELL,TRUMP,11355.423831527914
2020-10-31 16:01:47.689286,ANDERSON,2016,COTTLE,TRUMP,470.00772668737216
2020-10-31 16:01:47.689286,ANDERSON,2016,CRANE,TRUMP,974.3836073024771
2020-10-31 16:01:47.689286,ANDERSON,2016,CROCKETT,TRUMP,910.2916445723808
2020-10-31 16:01:47.689286,ANDERSON,2016,CROSBY,TRUMP,1096.9943186122264
2020-10-31 16:01:47.689286,ANDERSON,2016,CULBERSON,TRUMP,260.08332702068026
2020-10-31 16:01:47.689286,ANDERSON,2016,DALLAM,TRUMP,1171.303840618135
2020-10-31 16:01:47.689286,ANDERSON,2016,DALLAS,TRUMP,244241.46579804562
2020-10-31 16:01:47.689286,ANDERSON,2016,DAWSON,TRUMP,2448.4987500946895
2020-10-31 16:01:47.689286,ANDERSON,2016,DEAF SMITH,TRUMP,2703.937731990001
2020-10-31 16:01:47.689286,ANDERSON,2016,DELTA,TRUMP,1705.4035300356034
2020-10-31 16:01:47.689286,ANDERSON,2016,DENTON,TRUMP,158467.8422846754
