county,id,N,P,V,PE,total_precincts,reported_precincts
CULBERSON,9160,BIDEN,DEM,0,0.0,6,0
DALLAM,9240,TRUMP,REP,0,0.0,10,0
DALLAM,9160,BIDEN,DEM,0,0.0,10,0
DALLAS,9240,TRUMP,REP,0,0.0,1170,0
DALLAS,9160,BIDEN,DEM,0,0.0,1170,0
DAWSON,9240,TRUMP,REP,0,0.0,10,0
DAWSON,9160,BIDEN,DEM,0,0.0,10,0
DEAF SMITH,9240,TRUMP,REP,0,0.0,5,0
DEAF SMITH,9160,BIDEN,DEM,0,0.0,5,0
DELTA,9240,TRUMP,REP,0,0.0,8,0
DELTA,9160,BIDEN,DEM,0,0.0,8,0
DENTON,9240,TRUMP,REP,0,0.0,186,0
DENTON,9160,BIDEN,DEM,0,0.0,186,0
DEWITT,9240,TRUMP,REP,0,0.0,10,0
DEWITT,9160,BIDEN,DEM,0,0.0,10,0
DICKENS,9240,TRUMP,REP,0,0.0,7,0
DICKENS,9160,BIDEN,DEM,0,0.0,7,0
DIMMIT,9240,TRUMP,REP,0,0.0,8,0
DIMMIT,9160,BIDEN,DEM,0,0.0,8,0
DONLEY,9240,TRUMP,REP,0,0.0,7,0
DONLEY,9160,BIDEN,DEM,0,0.0,7,0
DUVAL,9240,TRUMP,REP,0,0.0,10,0
DUVAL,9160,BIDEN,DEM,0,0.0,10,0
EASTLAND,9240,TRUMP,REP,0,0.0,10,0
EASTLAND,9160,BIDEN,DEM,0,0.0,10,0
ECTOR,9240,TRUMP,REP,0,0.0,41,0
ECTOR,9160,BIDEN,DEM,0,0.0,41,0
EDWARDS,9240,TRUMP,REP,0,0.0,5,0
EDWARDS,9160,BIDEN,DEM,0,0.0,5,0
ELLIS,9240,TRUMP,REP,0,0.0,50,0
ELLIS,9160,BIDEN,DEM,0,0.0,50,0
EL PASO,9240,TRUMP,REP,0,0.0,209,0
EL PASO,9160,BIDEN,DEM,0,0.0,209,0
ERATH,9240,TRUMP,REP,0,0.0,22,0
ERATH,9160,BIDEN,DEM,0,0.0,22,0
FALLS,9240,TRUMP,REP,0,0.0,13,0
FALLS,9160,BIDEN,DEM,0,0.0,13,0
FANNIN,9240,TRUMP,REP,0,0.0,17,0
FANNIN,9160,BIDEN,DEM,0,0.0,17,0
FAYETTE,9240,TRUMP,REP,0,0.0,27,0
FAYETTE,9160,BIDEN,DEM,0,0.0,27,0
FISHER,9240,TRUMP,REP,0,0.0,5,0
FISHER,9160,BIDEN,DEM,0,0.0,5,0
FLOYD,9240,TRUMP,REP,0,0.0,7,0
FLOYD,9160,BIDEN,DEM,0,0.0,7,0
FOARD,9240,TRUMP,REP,0,0.0,5,0
FOARD,9160,BIDEN,DEM,0,0.0,5,0
FORT BEND,9240,TRUMP,REP,0,0.0,160,0
FORT BEND,9160,BIDEN,DEM,0,0.0,160,0
