County,REP,DEM,OTH
ANDERSON,"11,335","3,307",94
ANDREWS,"3,338",776,17
ANGELINA,"19,166","7,130",153
ARANSAS,"6,677","2,247",56
ARCHER,"3,208",376,18
ARMSTRONG,819,74,6
ATASCOSA,"7,753","4,332",119
AUSTIN,"8,722","2,241",84
BAILEY,"1,204",405,7
BANDERA,"7,643","1,865",76
BASTROP,"15,067","12,082",312
BAYLOR,"1,070",156,9
BEE,"4,342","2,811",64
BELL,"47,437","38,417",723
BEXAR,"217,600","326,946","5,024"
BLANCO,"4,181","1,570",57
BORDEN,320,22,1
BOSQUE,"5,718","1,374",63
BOWIE,"20,157","7,982",182
BRAZORIA,"65,693","45,228",832
BRAZOS,"35,971","27,876",640
BREWSTER,"1,879","2,147",60
BRISCOE,553,69,2
BROOKS,543,"1,376",4
BROWN,"10,391","1,670",71
BURLESON,"5,079","1,427",45
BURNET,"13,859","4,444",187
CALDWELL,"6,147","5,227",107
CALHOUN,"4,198","1,874",47
CALLAHAN,"4,373",610,40
CAMERON,"28,574","48,770",568
CAMP,"2,749","1,119",24
CARSON,"2,192",245,22
CASS,"8,148","2,024",45
CASTRO,"1,219",394,10
CHAMBERS,"12,146","2,926",109
CHEROKEE,"11,631","3,207",103
CHILDRESS,"1,526",236,8
CLAY,"3,710",547,31
COCHRAN,541,140,5
COKE,"1,150",137,10
COLEMAN,"2,759",351,16
COLLIN,"187,425","165,614","2,927"
COLLINGSWORTH,810,113,5
COLORADO,"5,779","1,825",33
COMAL,"44,079","16,830",586
COMANCHE,"3,799",781,30
CONCHO,803,163,14
COOKE,"11,879","2,550",111
CORYELL,"10,626","5,067",170
COTTLE,458,97,2
CRANE,836,213,6
CROCKETT,928,340,8
CROSBY,978,437,7
CULBERSON,297,521,9
DALLAM,970,139,6
DALLAS,"241,126","481,395","5,368"
DAWSON,"2,192",811,12
DEAF SMITH,"2,680","1,067",28
DELTA,"1,562",354,16
DENTON,"158,744","134,649","2,409"
DEWITT,"4,974","1,128",29
DICKENS,635,113,6
DIMMIT,840,"2,042",12
DONLEY,"1,110",161,8
DUVAL,"1,330","2,765",18
EASTLAND,"5,377",800,28
ECTOR,"20,996","9,230",248
EDWARDS,604,145,8
ELLIS,"41,022","19,106",461
EL PASO,"50,943","151,482","1,189"
ERATH,"10,055","2,486",84
FALLS,"3,215","1,445",20
FANNIN,"8,569","2,107",74
FAYETTE,"8,228","2,198",53
FISHER,"1,139",340,15
FLOYD,"1,394",476,9
FOARD,321,113,1
FORT BEND,"111,423","142,399","1,616"
FRANKLIN,"3,300",639,35
FREESTONE,"5,243","1,279",40
FRIO,"1,636","2,016",28
GAINES,"3,317",513,19
GALVESTON,"67,641","45,065",916
GARZA,"1,068",203,16
GILLESPIE,"9,890","2,572",81
GLASSCOCK,513,37,4
GOLIAD,"2,326",717,29
GONZALES,"4,173","1,421",31
GRAY,"5,246",615,40
GRAYSON,"31,655","11,157",332
GREGG,"24,569","11,133",234
GRIMES,"6,499","2,037",71
GUADALUPE,"33,938","20,079",554
HALE,"5,360","1,970",62
HALL,807,161,3
HAMILTON,"2,795",507,28
HANSFORD,"1,552",138,20
HARDEMAN,973,185,4
HARDIN,"17,391","2,636",71
HARRIS,"498,902","700,200","8,652"
HARRISON,"16,226","6,245",122
HARTLEY,"1,467",153,4
HASKELL,"1,362",302,10
HAYS,"33,308","45,584",854
HEMPHILL,"1,209",157,9
HENDERSON,"20,891","5,415",205
HIDALGO,"46,505","104,416",834
HILL,"8,927","2,443",63
HOCKLEY,"4,844","1,211",39
HOOD,"20,090","4,720",195
HOPKINS,"9,306","2,545",69
HOUSTON,"5,552","1,772",36
HOWARD,"5,651","1,693",60
HUDSPETH,509,407,17
HUNT,"21,115","7,151",222
HUTCHINSON,"5,854",753,35
IRION,636,96,6
JACK,"2,498",296,19
JACKSON,"3,991",832,17
JASPER,"9,504","2,282",47
JEFF DAVIS,683,466,28
JEFFERSON,"36,731","37,128",380
JIM HOGG,410,"1,060",8
JIM WELLS,"4,520","5,331",49
JOHNSON,"39,571","12,411",454
JONES,"4,115",832,37
KARNES,"2,900","1,203",33
KAUFMAN,"26,118","12,002",252
KENDALL,"15,292","4,340",164
KENEDY,100,77,3
KENT,288,44,5
KERR,"16,822","5,198",185
KIMBLE,"1,495",195,14
KING,124,6,1
KINNEY,827,358,14
KLEBERG,"4,081","4,456",59
KNOX,855,229,9
LAMAR,"12,711","3,731",126
LAMB,"2,741",699,17
LAMPASAS,"5,836","1,569",65
LASALLE,673,813,3
LAVACA,"6,688","1,019",30
