corr_county,pred_year,county,N,pred_v,timestamp
HARRIS,2012,DENTON,TRUMP,26.887264897035013,2020-11-03 13:01:00.727662
HARRIS,2012,DEWITT,TRUMP,0.8739525622234772,2020-11-03 13:01:00.727662
HARRIS,2012,DICKENS,TRUMP,0.13530737638485307,2020-11-03 13:01:00.727662
HARRIS,2012,DIMMIT,TRUMP,0.13001793291961922,2020-11-03 13:01:00.727662
HARRIS,2012,DONLEY,TRUMP,0.21959721741148286,2020-11-03 13:01:00.727662
HARRIS,2012,DUVAL,TRUMP,0.16721466438481214,2020-11-03 13:01:00.727662
HARRIS,2012,EASTLAND,TRUMP,0.928894523378487,2020-11-03 13:01:00.727662
HARRIS,2012,ECTOR,TRUMP,4.096759277427897,2020-11-03 13:01:00.727662
HARRIS,2012,EDWARDS,TRUMP,0.10954266789290754,2020-11-03 13:01:00.727662
HARRIS,2012,EL PASO,TRUMP,6.752401151392403,2020-11-03 13:01:00.727662
HARRIS,2012,ELLIS,TRUMP,9.751344968971443,2020-11-03 13:01:00.727662
HARRIS,2012,ERATH,TRUMP,1.7624084371742086,2020-11-03 13:01:00.727662
HARRIS,2012,FALLS,TRUMP,0.5726249119137036,2020-11-03 13:01:00.727662
HARRIS,2012,FANNIN,TRUMP,1.3924886490249508,2020-11-03 13:01:00.727662
HARRIS,2012,FAYETTE,TRUMP,1.3831041525543746,2020-11-03 13:01:00.727662
HARRIS,2012,FISHER,TRUMP,0.18666616616018825,2020-11-03 13:01:00.727662
HARRIS,2012,FLOYD,TRUMP,0.25986523863068256,2020-11-03 13:01:00.727662
HARRIS,2012,FOARD,TRUMP,0.059378268577463894,2020-11-03 13:01:00.727662
HARRIS,2012,FORT BEND,TRUMP,19.814255220766015,2020-11-03 13:01:00.727662
HARRIS,2012,FRANKLIN,TRUMP,0.5879813606837373,2020-11-03 13:01:00.727662
HARRIS,2012,FREESTONE,TRUMP,0.9633612195067851,2020-11-03 13:01:00.727662
HARRIS,2012,FRIO,TRUMP,0.266007818138696,2020-11-03 13:01:00.727662
HARRIS,2012,GAINES,TRUMP,0.5944651946088627,2020-11-03 13:01:00.727662
HARRIS,2012,GALVESTON,TRUMP,11.78334439566402,2020-11-03 13:01:00.727662
HARRIS,2012,GARZA,TRUMP,0.21550216440614053,2020-11-03 13:01:00.727662
HARRIS,2012,GILLESPIE,TRUMP,1.7584840113774223,2020-11-03 13:01:00.727662
HARRIS,2012,GLASSCOCK,TRUMP,0.08974991170041957,2020-11-03 13:01:00.727662
HARRIS,2012,GOLIAD,TRUMP,0.39141881642730514,2020-11-03 13:01:00.727662
HARRIS,2012,GONZALES,TRUMP,0.719364311271804,2020-11-03 13:01:00.727662
HARRIS,2012,GRAY,TRUMP,1.0993511047258617,2020-11-03 13:01:00.727662
HARRIS,2012,GRAYSON,TRUMP,5.278523323886273,2020-11-03 13:01:00.727662
HARRIS,2012,GREGG,TRUMP,4.904167228314561,2020-11-03 13:01:00.727662
HARRIS,2012,GRIMES,TRUMP,1.0478216877419706,2020-11-03 13:01:00.727662
HARRIS,2012,GUADALUPE,TRUMP,5.650661265746758,2020-11-03 13:01:00.727662
HARRIS,2012,HALE,TRUMP,1.1073705835279906,2020-11-03 13:01:00.727662
HARRIS,2012,HALL,TRUMP,0.1419618375185344,2020-11-03 13:01:00.727662
HARRIS,2012,HAMILTON,TRUMP,0.4978901945662059,2020-11-03 13:01:00.727662
HARRIS,2012,HANSFORD,TRUMP,0.30508144889800415,2020-11-03 13:01:00.727662
HARRIS,2012,HARDEMAN,TRUMP,0.20065759726177454,2020-11-03 13:01:00.727662
HARRIS,2012,HARDIN,TRUMP,3.027950443033547,2020-11-03 13:01:00.727662
HARRIS,2012,HARRIS,TRUMP,100.0,2020-11-03 13:01:00.727662
HARRIS,2012,HARRISON,TRUMP,2.988023676231459,2020-11-03 13:01:00.727662
HARRIS,2012,HARTLEY,TRUMP,0.2914312722135297,2020-11-03 13:01:00.727662
HARRIS,2012,HASKELL,TRUMP,0.24297314498364536,2020-11-03 13:01:00.727662
HARRIS,2012,HAYS,TRUMP,5.402228050089324,2020-11-03 13:01:00.727662
HARRIS,2012,HEMPHILL,TRUMP,0.2214741167055981,2020-11-03 13:01:00.727662
HARRIS,2012,HENDERSON,TRUMP,3.6225862648509652,2020-11-03 13:01:00.727662
HARRIS,2012,HIDALGO,TRUMP,6.80205366908218,2020-11-03 13:01:00.727662
HARRIS,2012,HILL,TRUMP,1.5581676685327597,2020-11-03 13:01:00.727662
HARRIS,2012,HOCKLEY,TRUMP,0.946298498651192,2020-11-03 13:01:00.727662
HARRIS,2012,HOOD,TRUMP,3.1410762823061287,2020-11-03 13:01:00.727662
HARRIS,2012,HOPKINS,TRUMP,1.6782892233561348,2020-11-03 13:01:00.727662
HARRIS,2012,HOUSTON,TRUMP,1.0032879863088728,2020-11-03 13:01:00.727662
HARRIS,2012,HOWARD,TRUMP,1.1010573768114211,2020-11-03 13:01:00.727662
HARRIS,2012,HUDSPETH,TRUMP,0.08036541522984339,2020-11-03 13:01:00.727662
HARRIS,2012,HUNT,TRUMP,3.585048278968661,2020-11-03 13:01:00.727662
HARRIS,2012,HUTCHINSON,TRUMP,1.1609475270145528,2020-11-03 13:01:00.727662
HARRIS,2012,IRION,TRUMP,0.11397897531536173,2020-11-03 13:01:00.727662
HARRIS,2012,JACK,TRUMP,0.44021819807430135,2020-11-03 13:01:00.727662
HARRIS,2012,JACKSON,TRUMP,0.6664698766194654,2020-11-03 13:01:00.727662
HARRIS,2012,JASPER,TRUMP,1.6989351155914025,2020-11-03 13:01:00.727662
HARRIS,2012,JEFF DAVIS,TRUMP,0.12268096295171421,2020-11-03 13:01:00.727662
HARRIS,2012,JEFFERSON,TRUMP,7.378261752375558,2020-11-03 13:01:00.727662
HARRIS,2012,JIM HOGG,TRUMP,0.06074328624591134,2020-11-03 13:01:00.727662
HARRIS,2012,JIM WELLS,TRUMP,0.7845439049401696,2020-11-03 13:01:00.727662
HARRIS,2012,JOHNSON,TRUMP,6.425991301424908,2020-11-03 13:01:00.727662
HARRIS,2012,JONES,TRUMP,0.7272131628653768,2020-11-03 13:01:00.727662
HARRIS,2012,KARNES,TRUMP,0.48202186417050435,2020-11-03 13:01:00.727662
HARRIS,2012,KAUFMAN,TRUMP,4.239403623780656,2020-11-03 13:01:00.727662
HARRIS,2012,KENDALL,TRUMP,2.4754595417294434,2020-11-03 13:01:00.727662
HARRIS,2012,KENEDY,TRUMP,0.014332685518698183,2020-11-03 13:01:00.727662
HARRIS,2012,KENT,TRUMP,0.0571601148662368,2020-11-03 13:01:00.727662
HARRIS,2012,KERR,TRUMP,2.9474144005951475,2020-11-03 13:01:00.727662
HARRIS,2012,KIMBLE,TRUMP,0.28443555666273657,2020-11-03 13:01:00.727662
HARRIS,2012,KING,TRUMP,0.02371718198927437,2020-11-03 13:01:00.727662
HARRIS,2012,KINNEY,TRUMP,0.15015194352921904,2020-11-03 13:01:00.727662
HARRIS,2012,KLEBERG,TRUMP,0.692405212319967,2020-11-03 13:01:00.727662
HARRIS,2012,KNOX,TRUMP,0.19792756192487967,2020-11-03 13:01:00.727662
HARRIS,2012,LAMAR,TRUMP,2.1884645769383675,2020-11-03 13:01:00.727662
HARRIS,2012,LAMB,TRUMP,0.5217780037640363,2020-11-03 13:01:00.727662
HARRIS,2012,LAMPASAS,TRUMP,0.9590955392928866,2020-11-03 13:01:00.727662
HARRIS,2012,LASALLE,TRUMP,0.11414960252391768,2020-11-03 13:01:00.727662
HARRIS,2012,LAVACA,TRUMP,1.1595825093461054,2020-11-03 13:01:00.727662
HARRIS,2012,LEE,TRUMP,0.7690168289615799,2020-11-03 13:01:00.727662
HARRIS,2012,LEON,TRUMP,0.9920265905441813,2020-11-03 13:01:00.727662
HARRIS,2012,LIBERTY,TRUMP,2.9557751338143885,2020-11-03 13:01:00.727662
HARRIS,2012,LIMESTONE,TRUMP,0.9022766788437617,2020-11-03 13:01:00.727662
HARRIS,2012,LIPSCOMB,TRUMP,0.1781348057323917,2020-11-03 13:01:00.727662
HARRIS,2012,LIVE OAK,TRUMP,0.5381582157854056,2020-11-03 13:01:00.727662
HARRIS,2012,LLANO,TRUMP,1.298473057110633,2020-11-03 13:01:00.727662
HARRIS,2012,LOVING,TRUMP,0.00921386926202026,2020-11-03 13:01:00.727662
HARRIS,2012,LUBBOCK,TRUMP,10.829538299836369,2020-11-03 13:01:00.727662
HARRIS,2012,LYNN,TRUMP,0.24553255311198433,2020-11-03 13:01:00.727662
HARRIS,2012,MADISON,TRUMP,0.5166591875073583,2020-11-03 13:01:00.727662
HARRIS,2012,MARION,TRUMP,0.46632416098335877,2020-11-03 13:01:00.727662
HARRIS,2012,MARTIN,TRUMP,0.23341802130451328,2020-11-03 13:01:00.727662
HARRIS,2012,MASON,TRUMP,0.2670315813900316,2020-11-03 13:01:00.727662
HARRIS,2012,MATAGORDA,TRUMP,1.3718427567896831,2020-11-03 13:01:00.727662
HARRIS,2012,MAVERICK,TRUMP,0.37043166977492564,2020-11-03 13:01:00.727662
HARRIS,2012,MCCULLOCH,TRUMP,0.4127472174967965,2020-11-03 13:01:00.727662
HARRIS,2012,MCLENNAN,TRUMP,8.173555171454751,2020-11-03 13:01:00.727662
HARRIS,2012,MCMULLEN,TRUMP,0.07354032688760616,2020-11-03 13:01:00.727662
HARRIS,2012,MEDINA,TRUMP,1.8903788435911568,2020-11-03 13:01:00.727662
HARRIS,2012,MENARD,TRUMP,0.11346709368969396,2020-11-03 13:01:00.727662
HARRIS,2012,MIDLAND,TRUMP,6.089514446152612,2020-11-03 13:01:00.727662
HARRIS,2012,MILAM,TRUMP,0.9352077300950563,2020-11-03 13:01:00.727662
HARRIS,2012,MILLS,TRUMP,0.32112040650226165,2020-11-03 13:01:00.727662
HARRIS,2012,MITCHELL,TRUMP,0.2996213782242144,2020-11-03 13:01:00.727662
HARRIS,2012,MONTAGUE,TRUMP,1.1174375888327905,2020-11-03 13:01:00.727662
HARRIS,2012,MONTGOMERY,TRUMP,23.541265337253208,2020-11-03 13:01:00.727662
HARRIS,2012,MOORE,TRUMP,0.6770487635499333,2020-11-03 13:01:00.727662
HARRIS,2012,MORRIS,TRUMP,0.5514671380527681,2020-11-03 13:01:00.727662
HARRIS,2012,MOTLEY,TRUMP,0.09179743820309075,2020-11-03 13:01:00.727662
HARRIS,2012,NACOGDOCHES,TRUMP,2.3759838791413355,2020-11-03 13:01:00.727662
HARRIS,2012,NAVARRO,TRUMP,1.8507933312061808,2020-11-03 13:01:00.727662
HARRIS,2012,NEWTON,TRUMP,0.7016190815819872,2020-11-03 13:01:00.727662
HARRIS,2012,NOLAN,TRUMP,0.5599984984805647,2020-11-03 13:01:00.727662
HARRIS,2012,NUECES,TRUMP,8.354931894149704,2020-11-03 13:01:00.727662
HARRIS,2012,OCHILTREE,TRUMP,0.4639353800635757,2020-11-03 13:01:00.727662
HARRIS,2012,OLDHAM,TRUMP,0.13479549475918529,2020-11-03 13:01:00.727662
HARRIS,2012,ORANGE,TRUMP,3.9868753551178777,2020-11-03 13:01:00.727662
HARRIS,2012,PALO PINTO,TRUMP,1.261446952853996,2020-11-03 13:01:00.727662
HARRIS,2012,PANOLA,TRUMP,1.3564863080196494,2020-11-03 13:01:00.727662
HARRIS,2012,PARKER,TRUMP,6.695923545360389,2020-11-03 13:01:00.727662
HARRIS,2012,PARMER,TRUMP,0.3431313164059767,2020-11-03 13:01:00.727662
HARRIS,2012,PECOS,TRUMP,0.428615547892498,2020-11-03 13:01:00.727662
HARRIS,2012,POLK,TRUMP,2.4008954515905017,2020-11-03 13:01:00.727662
HARRIS,2012,POTTER,TRUMP,3.2279255314610977,2020-11-03 13:01:00.727662
HARRIS,2012,PRESIDIO,TRUMP,0.08599611311218909,2020-11-03 13:01:00.727662
HARRIS,2012,RAINS,TRUMP,0.559486616854897,2020-11-03 13:01:00.727662
HARRIS,2012,RANDALL,TRUMP,7.071985913017661,2020-11-03 13:01:00.727662
HARRIS,2012,REAGAN,TRUMP,0.11534399298380918,2020-11-03 13:01:00.727662
HARRIS,2012,REAL,TRUMP,0.2108952297751304,2020-11-03 13:01:00.727662
HARRIS,2012,RED RIVER,TRUMP,0.6055559631649982,2020-11-03 13:01:00.727662
HARRIS,2012,REEVES,TRUMP,0.20270512376444572,2020-11-03 13:01:00.727662
HARRIS,2012,REFUGIO,TRUMP,0.28375304782851285,2020-11-03 13:01:00.727662
HARRIS,2012,ROBERTS,TRUMP,0.07985353360417559,2020-11-03 13:01:00.727662
HARRIS,2012,ROBERTSON,TRUMP,0.754001634608658,2020-11-03 13:01:00.727662
HARRIS,2012,ROCKWALL,TRUMP,4.62621550557695,2020-11-03 13:01:00.727662
HARRIS,2012,RUNNELS,TRUMP,0.529626855357609,2020-11-03 13:01:00.727662
HARRIS,2012,RUSK,TRUMP,2.37581325193278,2020-11-03 13:01:00.727662
HARRIS,2012,SABINE,TRUMP,0.6359276062879539,2020-11-03 13:01:00.727662
HARRIS,2012,SAN AUGUSTINE,TRUMP,0.421278577924593,2020-11-03 13:01:00.727662
HARRIS,2012,SAN JACINTO,TRUMP,1.2126475712069997,2020-11-03 13:01:00.727662
HARRIS,2012,SAN PATRICIO,TRUMP,2.0483796387139486,2020-11-03 13:01:00.727662
HARRIS,2012,SAN SABA,TRUMP,0.32504483229904807,2020-11-03 13:01:00.727662
HARRIS,2012,SCHLEICHER,TRUMP,0.1342836131335175,2020-11-03 13:01:00.727662
HARRIS,2012,SCURRY,TRUMP,0.7036666080846584,2020-11-03 13:01:00.727662
HARRIS,2012,SHACKELFORD,TRUMP,0.20782394002112364,2020-11-03 13:01:00.727662
HARRIS,2012,SHELBY,TRUMP,1.1737445676562475,2020-11-03 13:01:00.727662
HARRIS,2012,SHERMAN,TRUMP,0.15492950536878514,2020-11-03 13:01:00.727662
HARRIS,2012,SMITH,TRUMP,9.782228493720066,2020-11-03 13:01:00.727662
HARRIS,2012,SOMERVELL,TRUMP,0.48987071576407715,2020-11-03 13:01:00.727662
